ACCT - Accounting;;;;;;;;;;;;;;;
CRN;Subj;Crse;Sec;Cmp;Cred;Title;Days;Time;Cap;Act;Rem;Instructor;Date (MM/DD);Location;Attribute
;;;;;;;;;;;;Click name to see CV;;;
10013;ACCT;230;502;CS;3;INTRO ACCOUNTING (Syllabus);MW;11:30 am-12:20 pm;450;397;53;Natalie L. Allen (P);01/17-05/08;WCBA 113;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);03/06-03/06;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Natalie L. Allen (P);04/10-04/10;TBA;
10016;ACCT;321;500;CS;2;PROF DEVELOPMENT SEMINAR (Syllabus);TR;05:30 pm-06:45 pm;212;212;0;Kevin Roach (P);01/17-05/08;WCBA 113;NonTraditional Format Exclude
;;;;;;(Restrictions/Details);;;;;;;;;
21666;ACCT;322;500;CS;1;PROF DEVELOPMENT BBA (Syllabus);MW;04:00 pm-05:30 pm;69;67;2;Tara N. Blasor (P);01/17-05/08;WCBA 111;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
16673;ACCT;327;501;CS;3;FINANCIAL REPORTING I (Syllabus);MW;08:00 am-09:15 am;44;68;-24;Ryan Larkin (P);01/17-05/08;WCBA 111;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);04/24-04/24;TBA;
16674;ACCT;327;502;CS;3;FINANCIAL REPORTING I (Syllabus);MW;09:35 am-10:50 am;44;61;-17;Ryan Larkin (P);01/17-05/08;WCBA 111;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);04/24-04/24;TBA;
10017;ACCT;327;503;CS;3;FINANCIAL REPORTING I (Syllabus);MW;11:10 am-12:25 pm;44;46;-2;Ryan Larkin (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ryan Larkin (P);04/24-04/24;TBA;
10018;ACCT;327;504;CS;3;FINANCIAL REPORTING I (Syllabus);MW;12:45 pm-02:00 pm;44;62;-18;Lynn Rees (P);01/17-05/08;WCBA 111;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lynn Rees (P);02/13-02/13;TBA;
